P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P08576042A0765|16 27|HrcA protein
P07629150A0155|15 26|CYP11A1 gene
P09154822T0000|15 26|Raf-1 kinase
P09132011A0298|15 26|p50 sequence
P09087430A1046|15 25|U1A peptide
P07790377A0561|15 25|human PTS1R
P11207216A0719|15 25|PGHS-2 mRNA
P09525598A0325|15 24|Raf kinase
P07806492A1162|15 24|cucumisin
P02164637A0515|15 23|IRA2 gene
P01542667A0125|15 24|IFN-gamma
P10488147A1176|16 25|eotaxin-3
P10409656A1016|16 24|H411 cDNA
P10403575A1401|15 23|StAR gene
P10318859A0535|14 23|calpeptin
P09197408A0126|15 23|facB gene
P11134033A0639|15 24|int6Delta
P08683106A0374|15 24|IFN-alpha
P00618078A0367|14 22|lysozyme
P11278610A0902|14 21|SOCS box
P09136015A0529|15 23|Stellate
P11550795A2583|16 24|RORgamma
P01662794A0640|15 22|wt1 gene
P11117523A0650|15 23|COUP-TFI
P10049912T0000|16 22|RNase T
P07844201T0000|15 22|albumin
P07494244A0335|14 20|E1A243
P02562825A0413|16 22|beta-2
P10646863A0838|16 22|ICBP90
P11030744A0763|16 22|Trdpm1
P09417108A0000|16 22|RanBP1
P01537334A0507|15 20|TRP-2
P09199167A0942|16 21|Sed5p
P09305631A0770|16 21|BAG-1
P09111309A0674|16 21|Ets-2
P11103792A0755|16 21|c-Myc
P02236022A0000|16 21|c-myb
P10819327T0000|16 21|OSM-3
P09507032A1144|16 21|CSF1R
P09446616A0780|16 21|Raf-1
P08361761A0174|14 19|v-Rel
P10763823A0824|16 21|mcl-1
P09334330A0252|15 20|daf-3
P07744846A1006|16 21|Bcl-2
P01939199A0588|16 21|TFIID
P08387507A1015|15 20|Myf-5
P07565713A0634|16 20|SCS1
P10823961A0664|14 18|TRBP
P07565776A0612|15 19|HOG1
P07730336A0606|15 19|CREM
P09288848A0780|15 19|HbO2
P10959838A0153|16 20|Fhit
P09892021A0712|16 20|PTTG
P11336698A0075|15 19|Rsc3
P09155024A0955|16 20|EFG1
P08816472T0000|16 20|Ste4
P09278441A1777|16 20|CARP
P09949160A0600|15 19|Epo1
P08918885A1087|15 19|dig2
P08846775A0110|14 18|Swi4
P09927449A0421|16 20|POG1
P02645276T0088|15 19|RIP1
P07739566A1076|16 20|BSAP
P09713996A0262|16 20|MDR1
P07700361A0125|16 20|pTyr
P01653236A0895|14 17|p50
P09171239A2146|16 19|RXR
P10801482A0968|14 17|p65
P08021177A0000|15 18|fes
P09687511A1091|16 19|FUS
P11121434A0915|15 18|Mek
P10606245A0906|16 19|CDP
P01285358A0396|15 18|AFP
P08226798A1124|15 18|CaM
P11062257A0977|15 18|Vps
P10362652A1456|16 19|Sos
P09278494A0762|15 18|Sp1
P09114972A1366|15 18|SOS
P07575416A0000|15 18|PKC
P08453101A0128|16 19|PWM
P10882850A0000|16 19|Nth
P02368931A0587|15 18|IgE
P10881275T0000|15 18|IgM
P10194769A0146|15 17|1P
P07519481A1275|16 18|Sl
P07628451A0114|14 16|RA
P09706565A1072|16 17|K
P11902781A0550|16 17|N
P08524229T0000|16 76|soybean ribulose-1,5-bisphosphate carboxylase small-subunit mRNA
P11706949T0000|16 50|insulin-like growth factor I receptors
P10585440A0204|15 49|Drosophila melanogaster FAK homologue
P02423533A1314|15 49|MAP1-specific and MAP2-specific mRNAs
P01846489A1119|15 48|picornaviral 3C-like protease domain
P11511544T0000|15 44|heat shock transcription factor 1
P09121430A0132|17 47|mitogen-activated protein kinase
P08246987A0260|15 43|protein-tyrosine kinase domain
P11435578A0760|16 44|cyclic AMP-responsive elements
P08387743A0624|16 44|wild-type 5'-regulatory region
P01744119A0757|16 43|primase recognition sequences
P08637006A0000|17 43|adenovirus E2-early promoter
P08910292T0000|16 40|small GTP-binding proteins
P07848358A0254|15 40|aspartate aminotransferase
P09609705A0895|16 39|mitochondrial bc1 complex
P06784123T0000|16 37|immunoglobulin C mu gene
P11556809A2085|17 39|CYP71D20-encoded enzyme
P07823953A0777|15 34|I kappa B alpha mutants
P08230445A0000|15 34|vpr open reading frame
P10579722T0000|17 38|myosin-binding subunit
P11357063A1053|16 35|mammalian LHbeta gene
P07190627T0000|15 35|plasminogen activator
P11196199T0000|16 34|yeast Rad23 protein A
P10598101A0000|15 33|bZIP protein Opaque2
P10077188A1172|16 34|helicase-like genes
P07557091A0314|16 33|human serum albumin
P09714835A0345|16 33|carboxypeptidase D
P09278454A1261|16 32|MMP-2 RE1 sequence
P10473598A0691|16 32|C-terminal region
P09023197T0000|15 31|Bacillus subtilis
P09294161A0650|15 31|wild-type protein
P10698974A0951|15 29|human STAG3 gene
P07507207A0991|17 31|IRF binding site
P01627830A0000|16 30|casein kinase-1
P10675154T0000|16 30|botulinum toxin
P08604338A0198|16 29|FLI-1 proteins
P07588608A1687|16 28|ERF repressor
P07720572A0701|15 27|myoD promoter
P10229668A0190|15 27|cdc33 mutants
P08636031A1413|16 28|Fur repressor
P09312028A0975|17 30|RXRalphaF318A
P08360180A1041|16 27|barley PSI-K
P07501458A0578|15 26|C/EBP family
P10025050A1052|15 26|H2-receptor
P03104982A0690|15 25|hemoglobin
P01967130A0645|16 24|EFIA cDNA
P09990507A0000|16 25|ubiquitin
P02157141A0923|16 24|T antigen
P09426183A0000|17 26|NF-kappaB
P11528500A0571|15 22|NRL gene
P01316680A0643|17 23|IR5 ORF
P11223186A1095|17 24|oIFNtau
P00029953T0045|17 23|lipase
P09761791A0489|16 22|U1-70K
P11034547A0674|15 21|NBPhox
P07754713A0227|15 20|PRP21
P09799362A1463|17 22|Azf1p
P09849961A0387|17 22|IRS-1
P08013348A0143|16 21|SHBGs
P11016954A0438|15 20|QDE-2
P11323716A0413|15 20|RAD23
P10712599A0349|15 20|IRF-1
P10506143A0610|15 20|JNKK2
P09685346A0419|16 21|Pitx2
P07829097A0000|16 21|DXS52
P10448036A0748|16 21|zf4-6
P11238405A0817|16 21|tup11
P01652372A0153|16 20|SWI5
P02778873A0761|16 20|CRL3
P08643111A0855|16 20|hLL2
P02289639A0989|15 19|HbA1
P11029045A0000|17 21|Cdc2
P10068637A1320|18 22|Nkx2
P02342477A1292|15 19|UTMP
P10729220A0000|16 20|IGF2
P09188094A0934|15 19|mcs4
P09792714A1408|16 20|AF-1
P11313946A0449|17 21|AF-6
P01468625A0282|16 20|LEU2
P07667097A0267|16 20|p255
P08909546A0810|15 19|PEA2
P09346925A0660|15 19|Grb2
P07854130A1387|16 20|PilE
P07865129A0293|16 19|ATF
P09366517A0835|17 20|WT1
P11312326A0169|14 17|RRE
P10660304A0522|16 19|Tyk
P10660676A0000|17 20|cyc
P10965905A1618|17 20|Akt
P10702389A1148|15 18|RB2
P09860979A0521|17 20|Cas
P09341193A0362|16 19|Sp1
P10799595A1454|15 18|CDP
P08918464A0225|18 20|Ba
P09837913A0000|16 18|D2
P03759330A0713|16 18|F1
P10501936T0000|17 71|Neurospora crassa mitochondrial outer membrane protein TOM70
P02123029A0478|16 49|Raja immunoglobulin heavy chain genes
P09202859A0091|16 47|beta-human chorionic gonadotropin
P11126275A1068|17 47|anticardiolipin immunoglobulin G
P02789062A1420|16 44|NF-4FB enhancer binding protein
P02148799A0000|15 42|major negative regulatory gene
P09215891A0000|16 43|Saccharomyces cerevisiae CIN1
P09466931T0000|18 44|Drosophila nuclear receptors
P08425221A0000|16 41|cytoplasmic tyrosine kinase
P02748595A0492|17 37|baboon liver class I ADH
P09693035T0000|16 38|serine/threonine kinase
P03329716A0187|16 35|EGF receptor promoter
P07681513A0000|16 36|phosphodiesterase III
P10403839A1459|17 36|bHLH/PAS family genes
P11038317A0000|17 36|GTP-binding proteins
P08597596A0135|16 35|ATP-binding cassette
P02094257T0000|17 35|adenosine deaminase
P07592658A0309|18 36|DNA-binding complex
P09268652A0116|16 33|zinc finger protein
P09564917A0900|17 35|alpha2-antiplasmin
P03605895A0888|16 33|carboxyhemoglobin
P07651424A0743|17 33|SSM1b transcripts
P09271496T0000|17 31|HIV-1 integrase
P07504171A1214|16 29|Src SH2 mutants
P09583208A0171|17 31|creatine kinase
P01358190A0654|17 29|DR1 beta chain
P08663219A0246|16 28|rat PGS-2 gene
P09514962A0841|17 30|14-kDa protein
P07651340A0286|18 31|uvsH77 mutants
P08589358A0841|16 30|erythropoietin
P01644814A0068|16 29|40-kDa protein
P02163382A0169|17 29|O7-LPS region
P08839832A0729|17 29|CD30v protein
P08247005A0584|17 29|drs2 mutation
P02863747T0000|18 30|histone genes
P09192786T0000|17 28|human LU gene
P07489502A0000|17 27|NS1 protein
P09645942A1164|16 27|plakoglobin
P07519447T0000|17 27|bovine gene
P01363166T0001|17 27|H2 receptor
P08086450A0467|17 27|bovine gene
P08093450A0688|17 27|NRF-1 motif
P07608968A0836|17 27|Tat mutants
P09784192A1027|17 27|MBP fusions
P07490770A0267|17 26|coxI genes
P02076620A0548|18 28|fibrinogen
P11404016A1922|17 26|TE domains
P09434185A0902|17 26|SPP1 genes
P08820642A0173|18 26|hrpZ gene
P09575187A1558|16 25|NF-kappaB
P08417331A0745|16 24|HIR1 gene
P10022921A0608|17 25|SIN3 gene
P11029700A0295|17 26|Os;cycH;1
P09271417A0585|16 24|ERR alpha
P11071651A1308|16 24|RARalpha
P00622556A0111|16 24|collagen
P09181130A1067|17 24|Krox-20
P09582306T0000|16 23|Galphao
P08534367A0984|17 23|PTP-S4
P09575143A1189|17 23|ZAP-70
P09671579A1168|17 23|pax2.1
P10727433A0560|17 23|CSF-1R
P08385581A0126|16 22|REC114
P03428274A0000|17 22|NFIII
P07579704A0085|17 22|actin
P01398104A0834|17 22|CBF-A
P01671675A0483|17 22|pKB11
P08355696A0236|16 21|c-jun
P10438607A0330|16 21|SEBP2
P10523319A0209|16 21|Dbp5p
P08668142A1048|17 22|hARF4
P09670034A0340|17 22|Ddc1p
P07687541A0992|16 20|GNRP
P07802655T0000|18 22|FIII
P06286443A0498|18 22|ACTH
P11171320A0894|17 21|p120
P07791776T0000|18 22|fus1
P01715975A0885|17 21|CYP1
P07926748A0383|17 21|NOT1
P07545510A0735|16 20|cotS
P01918010A0000|18 21|LPL
P10102136A0220|16 19|PSA
P11149472A1257|18 21|CIZ
P09478921A0126|18 21|bcr
P02549343A1008|17 20|gpI
P08290278A0374|17 20|Mad
P09000049A1341|17 20|Max
P08771787T0000|18 21|LRP
P09148935A0805|18 21|PTK
P10430944A1298|16 19|JAK
P02026144A0741|17 20|GUS
P10620335A0749|16 19|AHR
P09393966A0190|17 20|IgH
P11278583A0873|18 21|IRS
P07487363A0447|16 19|IgE
P10526670A1828|17 20|ICE
P10411139A0887|17 19|U4
P10872827A0000|18 20|PA
P11005831A0242|18 67|basic leucine zipper (bZIP)-type ABRE-binding proteins
P01900194T0000|19 56|mitochondrial NADH-ubiquinone reductase
P01646157A0414|18 53|full-length alpha-GalNAc cDNA sequence
P01647656A0000|18 51|myocardial beta-adrenergic receptor
P09285789A0712|17 48|guanine nucleotide exchange factor
P07537851A0000|18 47|vascular cell adhesion molecule 1
P11375392T0000|17 43|human thioredoxin reductase 1
P07948129A0297|17 43|chimeric long terminal repeat
P10721726T0000|18 44|mouse thioredoxin reductases
P10747879A0607|17 41|CCR5 cis-regulatory region
P07601445A0207|16 38|BAT1 translation product
P09891009T0000|18 39|mouse glycolate oxidase
P11087141A0977|18 39|alpha1,3GT transcripts
P06185014A0642|19 38|complement factor C3c
P00089778A0000|18 38|alpha 2-macroglobulin
P02789062A0000|17 35|human 4F2 heavy chain
P08189498T0000|18 37|immediate-early gene
P06319740A1331|17 35|gp54 structural gene
P10725382A0398|18 35|sos2 mutant alleles
P02115572A1323|17 34|V lambda pseudogene
P01331060A0768|17 33|calcineurin A gene
P07760790A0327|17 33|MEF2 reporter gene
P07832779A0719|19 35|endoglycosidase H
P08107167A0222|19 35|anti-B. turicatae
P11319098A0164|17 33|tryptophanyl tRNA
P08649440T0000|18 34|bovine IgG2--VIII
P03335398A0568|17 32|immunoglobulin G
P08962614A0000|18 33|immunoglobulin E
P09713990T0000|17 31|TP53 target gene
P07525843A0859|17 31|H-2d NP peptides
P08861955A0927|18 32|RCC1-like motif
P10792718T0000|18 31|AfsA homologue
P08754777A1214|17 30|T3R homodimers
P08491383A1291|17 30|alpha-subunit
P10190324A0000|17 28|elastin gene
P08643513A0361|18 29|rOC promoter
P07590283A0820|17 28|chimeric TdT
P07665187A0824|18 28|S1 nuclease
P01392012A0228|19 30|vasopressin
P00331128A0000|17 27|calcitonin
P08900296A0000|18 28|E-selectin
P08670853A0000|18 28|E-cadherin
P09988682T0033|18 27|human cDNA
P08242861A0368|18 25|A alpha C
P06796300A0759|18 27|prolactin
P01904437A0000|18 26|metH gene
P07499401A0444|18 25|hnRNPs H
P08099443A0359|16 24|dsRNA-PK
P02131652A0883|18 25|gastrin
P10704853T0000|18 25|Bozozok
P08806491A0542|18 25|ODV-E18
P08566751A0788|18 25|gHoxb-1
P09469415A1337|18 24|beta 2m
P08648665A1320|17 22|ORF E6
P10441243A0443|19 25|leptin
P10373523A0924|18 24|p50E4F
P09718372T0000|17 23|MAPKKK
P11524015A0937|18 24|BZAP45
P09755191A0553|17 23|swa5-1
P11038366A1417|18 24|Pph21p
P07500950A0000|18 23|trolC
P07528531A0904|18 23|G-CSF
P09710599A0310|17 22|ets-2
P07933076A0211|18 23|EBNA2
P07797476A1001|17 22|TFIIF
P08407784A0850|18 23|recJ+
P09611234A0098|20 25|Mxi-1
P08430095A0913|18 23|Smd1p
P10890911A0470|17 22|Smad3
P08917435A0481|17 22|c-Jun
P02714852T0000|18 23|HLA-B
P09760243A0970|19 24|ATF-2
P08892757T0000|18 23|Elk-3
P07499252A0150|18 22|hGMR
P07521009A0377|18 22|pms2
P09751114A0967|18 22|MyoD
P09806546A1270|18 22|RFX5
P09079928A1319|17 21|OxyR
P09726987T0000|19 23|GCN5
P09710582A0535|16 20|AP-1
P10618645A0750|18 22|AP-1
P07695629A0489|17 21|mds1
P11566996A1391|17 21|uvrA
P09199286A0086|17 21|mkh1
P09351823A0414|17 21|MAPK
P08643646A0479|18 22|verA
P02293019A0000|20 23|ALP
P08676454A0731|18 21|Pra
P07964458A0179|17 20|Bcg
P07890674A0916|17 20|APC
P09763446A0000|17 20|Ypt
P07519481A1275|19 22|pan
P08634420A1784|18 21|Epo
P09584194A0000|18 21|Efs
P08776901A0000|19 22|chm
P08483479A1056|17 20|PTH
P08091669A0828|18 21|P35
P11158236A0000|18 21|NGF
P08589735A0577|18 21|GUS
P11069075T0000|19 53|Xenopus laevis CXC chemokine receptor 4
P09169593T0000|19 55|mitogen-activated protein kinase kinase
P10702253A0357|18 54|reverse transcriptase-polymerase chain
P10082554T0000|19 47|c-myc promoter binding protein 1
P07760841A0647|17 45|ADH2 upstream regulatory region
P09393875A0873|18 46|human papillomavirus late mRNAs
P09565576T0000|18 45|eukaryotic DNA topoisomerase I
P07719527T0000|19 45|recombinant hirudin CGP 39393
P11208017A0070|18 44|C2H2-type zinc finger protein
P08833653A0304|17 41|LIM domain homeobox protein
P07929560T0000|19 44|plakoglobin-binding domain
P09765394A1590|19 43|helicase-primase proteins
P09058378A1134|20 43|glucocorticoid receptors
P01464606A0344|19 38|alpha 5 beta 1 integrin
P07828600A0095|17 37|stage selector element
P00377466A0188|19 37|luteinizing hormone
P11028131T0000|20 37|interferon beta-1b
P08183915A0000|18 32|105-kDa protein
P10026146A0680|18 32|RIalpha subunit
P09155015A0140|17 30|protein kinase
P02034676A0267|18 31|rhombotin gene
P02595451A1136|18 30|aniridia gene
P11085267A0562|19 31|sconC3 mutant
P10508522A1598|19 30|TGF-beta RII
P07775428A0172|18 28|Ash-m and -s
P10413676A0595|19 29|FAK mutants
P10825293T0000|19 29|N-cadherin
P07565104A0084|18 27|pilin gene
P08208540A0000|19 28|NFKB2 gene
P10871045A1221|18 27|C/EBPbeta
P09792627A0441|18 27|NF-kappaB
P03053713A0752|18 26|DPM1 gene
P08034680A0180|19 26|zeta PKC
P01850127A0000|19 26|U2 snRNP
P09515032A1230|19 26|p21 mRNA
P10021350A0093|18 26|Wingless
P07651131A1407|19 25|DNase I
P09230894A0422|18 25|KmMig1p
P10938109A1361|18 25|PKCbeta
P11469701A0377|18 25|insulin
P09545638A1181|18 25|HRMT1L1
P03921727A0523|19 25|apo A-I
P10543728A0358|18 25|cHa-ras
P10073940A0335|19 25|d-axin
P02679804A2000|18 23|ura10
P08178446A1160|18 23|ICP10
P10333529A0277|18 23|Abeta
P10637230A0332|19 24|c-myc
P08994832A0782|19 24|Apo-3
P10531446A0203|20 25|ErbB2
P10359014A1077|18 23|Fra-2
P08383622T0000|18 23|NRF-2
P09837945A0820|20 25|Sop1p
P10542269A0000|20 25|Abeta
P11058120A0256|18 23|IRF-2
P10090943A1426|17 22|CD79b
P09535835A0279|19 24|mDia2
P07623821A0649|18 23|HRF-1
P09486531A0638|20 25|HFH-8
P01552853A1377|19 23|virF
P10669594A0969|18 22|AgfA
P08001792A0284|18 22|git7
P08978690A0262|20 24|Mec1
P08021177A0000|19 23|entF
P09443972A1145|19 23|GKLF
P10733569A0364|19 23|HSF1
P10544037A0617|18 22|FZD9
P10602502A0422|18 22|Tob2
P08406497A0000|19 23|FBN1
P09139665A0784|18 22|PhLP
P01313909A0526|18 22|ICP0
P11331613A0827|19 23|pVHL
P09712898A0911|19 23|SAPK
P09121433A0463|17 21|Smp1
P08954725A1175|19 23|Tbx6
P10231026A0253|18 22|Elk1
P11094087T0000|19 23|Rnd3
P06316347A0852|18 21|rnh
P02509123A0371|18 21|IFN
P10597223A0339|20 23|Ras
P10215594A1728|19 22|LUC
P07841663A0685|20 23|SOD
P11457139A0604|18 21|CVN
P09191052A0850|17 20|Pbx
P09639558A0957|18 21|C1q
P09625762A0426|19 22|E1A
P07540773A0576|17 20|MBP
P10734312A0503|19 22|Shc
P10606245A0906|20 23|cut
P11071924A0588|18 21|SH2
P11121434A0915|19 22|Erk
P09442172A0908|19 22|FSH
P00336354A0543|18 20|GH
P06685643A0179|19 21|C4
P11275986A0091|18 20|E6
P10521447A0606|19 20|B
P11050084A0000|19 64|peroxisome proliferator-activated receptor alpha
P07488247T0000|20 62|aryl hydrocarbon receptor nuclear translocator
P02983331T0000|18 57|endogenous corticotropin-releasing factor
P10805737T0000|20 57|mammalian translation initiation factor 5
P08836032T0000|20 50|AcMNPV homologous region sequence
P09405685A0113|20 49|DNA binding transcription factor
P09046090T0000|19 46|transcription factor yTAFII60
P07514301A0000|21 47|RNA-dependent protein kinase
P09588228A0370|22 47|anticytokeratin 19 antibody
P01280807A0575|18 42|MetRS/CAU operator complex
P08622893A0000|19 42|receptor tyrosine kinases
P10835355A0225|18 39|zinc finger protein Gis1
P10625683A0091|20 42|protein tyrosine kinases
P03338154T0000|20 43|tumor-associated trypsin
P09582953A0000|20 41|coagulation factor VIII
P09321930A0567|19 39|tumor suppressor genes
P03697971A0311|19 40|glutathione peroxidase
P08041362T0000|19 39|cysteine synthase cDNA
P09925777A1195|19 37|hnRNP A1 binding site
P10771528T0036|18 37|alkaline phosphatase
P02869125A0120|20 37|mu-opiate receptor
P08263933T0000|19 35|P-type ATPase gene
P01986241A0117|20 35|ACE1 gene product
P02527365T0000|19 35|mos protooncogene
P02123820A0000|19 35|monoamine oxidase
P10799863T0000|20 37|metallopeptidases
P09174049A1788|21 36|histone H1 kinase
P01554334A0000|20 36|gamma-interferon
P11160929T0000|19 34|DNA-binding site
P11325944A0511|20 35|full-length UhpB
P09705324A1602|19 33|rat Std promoter
P09623830A0000|19 33|botulinum toxin
P09267439A0000|19 33|ras superfamily
P09131139T0000|19 34|acetylhydrolase
P10773951A0000|17 30|anti B antibody
P08824585A0260|18 31|protein kinase
P10628750T0000|20 33|nuclear factor
P10216161A1530|20 33|cytochromes bd
P04515631T0000|19 32|antithrombin 3
P10773667A0351|18 31|HMG20 proteins
P10762348A0269|21 33|STAT proteins
P11438666A0555|18 30|mouse protein
P05322558T0000|20 33|hemagglutinin
P10564495A0444|19 30|Opa proteins
P08601616A0726|19 30|pds1 mutants
P08522175A0306|19 29|human BTF3b
P02557217A0398|19 29|calcitonin
P07991582A1023b|20 29|yeast CEG1
P10187842A1155|18 28|PPARgamma2
P10873387A0816|19 28|human gene
P11525640A0560|19 28|ERK kinase
P10026211A0543|20 30|pDeltaCREC
P08702633A0164|20 30|Gbetagamma
P01321336A0731|19 27|ALF1 cDNA
P07609079A0387|20 28|HIV-1 LTR
P10702389A1148|19 27|p130 gene
P02831556A0173|19 28|alpha-MSH
P08294429A0153|19 26|hGH gene
P10827952A0158|18 26|TAFII250
P09642276A0881|18 26|caspases
P09641167A1359|20 27|TGF beta
P09789025A0149|20 28|Galpha13
P08514766A0732|19 26|CDC42Ce
P07835888A0402|19 25|XD gene
P09447962A0452|20 26|rhis4l
P01863768A0649|19 25|ORF113
P01931966A0490|19 25|pADPRP
P11071852A0297|18 24|SOCS-3
P01426635A0496|18 23|ZFH-2
P10556089A0901|19 24|etr-1
P08874631A1133|21 26|HIV-1
P01626430A1112|20 25|RAD16
P09605137A0677|20 25|c-Jun
P10502402A0129|21 26|TRAIL
P10439040A0658|19 24|eIF4E
P02123877A1452|21 26|c-fos
P01357528A0084|19 24|curli
P10727426A1280|19 24|PfPK6
P07878029A0721|18 23|CBF-C
P11472696A0387|19 24|CPIgG
P08710504A0995|20 25|Cat8p
P08740416A0239|20 25|Seb1p
P01766666A0788|20 24|rE12
P07563072A0773|20 24|lacZ
P11263664A1085|19 23|SIP1
P09572990A0630|20 24|hSIE
P10391246A0756|20 24|TAK1
P09973351A1522|19 23|DcuS
P10022867A1069b|19 23|apn1
P10972980A0295|19 23|mTOR
P08763953A0805|19 23|traF
P09880512A1251|19 23|Bmp2
P09743233A0526|19 23|AP-1
P02164585A0814|19 23|orfD
P08649403A0963|18 22|reg1
P08663127A0697|20 24|KCC1
P07851758A0330|20 24|SAL6
P08951815A0465|19 23|ASN2
P10022867A1069a|19 23|apn1
P10330134A0765|19 23|RFX1
P09380707A0714|21 25|LAZ3
P02839716A1907|19 23|E2-C
P02880841A0313|19 22|TF1
P09099683A0000|21 24|DGK
P09092493A0861|19 22|VIP
P08997532A0116|20 23|IgE
P08544820T0000|20 23|EcR
P07174122A0000|20 23|SCK
P11046148A0716|19 22|Syk
P11250942A0626|20 23|VDR
P00453780A0430|20 23|IgA
P02176209A0954|21 24|EFI
P09218459A0000|20 23|SRF
P09029091A0881|21 24|TCR
P09729481A1177|20 23|Sp1
P09862343A0225|19 22|MR6
P10940557A1687|21 24|CF1
P09142146A0887|21 24|PAF
P10976413A0514|20 23|FSH
P10666238A1322|19 22|E2F
P09324988X0000|20 23|p21
P11469970A0873|19 22|SOD
P07865129A0293|20 23|CRE
P10411139A0887|20 22|U6
P10650938T0000|20 22|ER
P11181525T0000|20 22|AR
P07007591A0324|20 21|R
P09006051A1162|20 90|carboxyphosphonoenolpyruvate phosphonomutase of Streptomyces hygroscopicus
P09288916T0000|21 83|human intestinal N-benzoyl-L-tyrosyl-p-aminobenzoic acid hydrolase
P07791763T0000|20 63|amphibian insulin receptor substrate 1-like cDNA
P09528792A0000|21 52|fibroblast growth factor receptor 2
P08139577T0000|21 49|yeast transcription factor IIIB
P09395525A0395|20 49|CCAAT/enhancer-binding protein
P05781385T0000|20 45|phenolphthalein sulphatase
P11112700T0000|21 45|microtubule binding domain
P10195425T0000|21 45|transcription factor MTF-1
P09121424A0296|20 43|S. cerevisiae Swi3 homolog
P09255349A0836|20 44|GTPase activating proteins
P07747462A0332|21 45|prokaryotic RCR initiators
P09535892A0000|19 42|heterotrimeric G proteins
P11062068T0000|21 45|mitogen-activated protein
P07546294A0000|20 43|Saccharomyces cerevisiae
P09837978T0093|21 42|c-Jun N-terminal kinase
P08763311A0189|20 41|alpha-1 adrenoreceptor
P09393966A0190|20 39|constant region genes
P07845672A0368|20 38|murine blk sequences
P09862481A0000|19 36|zinc finger protein
P10446206A0000|20 37|human presenilin-1
P09618475A0747|19 35|CTD-binding motif
P01837787T0000|20 35|full-length cDNA
P03771670T0058|21 36|antithrombin III
P11390663A1400|20 35|gcn4Delta mutant
P10526670A0236|20 34|actin filaments
P09490676A0800|21 35|recombinant Myb
P08183915T0000|21 35|RNA transcripts
P08733123A0951|20 34|FRG1 transcript
P10668701A1311|21 35|APOE epsilon4/*
P01968156T0000|21 35|botulinum toxin
P06152844T0000|20 33|growth hormone
P08144470A0711|20 33|asgB480 allele
P11413148A0573|20 32|Src homology 2
P07846942A0717|21 34|beta-receptor
P09169852A0235|20 32|pag-3 alleles
P07721878A1163|19 30|Fc epsilon R1
P08524260A0835|20 32|bovine LTBP-2
P09822652A1118|20 31|HCK promoter
P08212571A0971|19 30|rev proteins
P03888621A0185|20 31|hydrogenase
P08504932A0123|20 30|GATA factor
P09557682A0490|21 31|hGli2 alpha
P01661369A0825|20 29|strE genes
P09886843A0339|20 29|human gene
P07844555A0406|20 28|E mu pim-1
P09507032A1144|22 32|IRDelta960
P08204824A0000|19 28|cyc07 gene
P09914500A0000|20 29|NF-kappaB
P11279086A1350|20 29|ADAM-TS12
P10526670A1828|21 30|caspase-1
P11024026A0133|20 29|arrestins
P08816443A1674|21 29|ROK alpha
P10082137A0262|20 29|IFN-gamma
P11431472A0540|20 29|Rab6A-GTP
P07739542A1419|20 27|cyclin E
P08615012A0627|21 28|ie1 gene
P07857086A0949|19 26|Insulin
P08208618A1334|19 26|HR21Xap
P00385457A0187|20 26|pepsin
P11535832A0586|21 27|HDAC9a
P09230307A0329|20 26|GATA-1
P09188863A0954|21 27|CDC25B
P05424220T0001|21 27|lipase
P08794339A1162|20 25|IE2 86
P08150970A0434|19 25|TSST-1
P07504712A0843|21 26|actin
P08919907A0763|21 26|VSF-1
P08601806A0875|20 25|RPF-1
P10733591A0533|21 26|Cdc42
P08464924A0243|19 24|eIF-5
P10543730A0000|20 25|Ume3p
P10325413A1211|20 25|c-Abl
P07523363A0440|21 26|HpaII
P07705627A1107|19 24|Medea
P10819327T0000|22 27|KAP-1
P09224655T0000|21 26|ClC-6
P01309593A1092|20 25|UCRBP
P10393422A0476|19 24|LAMB2
P09478976T0000|21 26|c-Fos
P09724754A0173|22 27|STATs
P10454533A0859|20 25|Hsc70
P02233729A1065|21 25|Dhfr
P03987818A0440|20 24|AP-A
P08649372A0755|20 24|Mbp1
P09023378A0959|21 25|CBF1
P08497280A0266|20 24|SWI4
P10377438A0647|19 23|UBC9
P09736697A1107|20 24|IL-6
P10430944A1298|20 24|STAT
P11101847A0159|21 25|E2F1
P09915860A0000|19 23|pgp2
P09000049A1341|21 25|Sin3
P09236224A0939|21 24|p21
P10036191A0000|22 25|MiT
P11238884A0892|20 23|dlg
P10684069A0508|20 23|MIP
P11416012A1982|20 23|PKA
P09478921A0126|22 25|abl
P00603783A0647|19 22|IgM
P08655497A0000|20 23|cmr
P09261155A0833|20 23|PTB
P08628254A0665|19 22|Jun
P09341193A0362|20 23|Sp3
P10049357A0608|20 23|Ski
P09418871A0620|21 24|DDB
P09703213A0280|20 22|D1
P07592706A1465|19 21|HL
P10684304A1242|21 22|U
P07958898A1050|23 24|S
P07642544A0868|22 59|human protein-tyrosine phosphatase alpha
P08051102A0532|20 53|rAC-st myosin light chain phosphatase
P11145562A0000|20 49|type 1 insulin-like growth factor
P09710599T0000|22 53|mitogen-activated protein kinases
P01917943A0621b|21 50|sMtCK genomic upstream sequences
P01917943A0621a|21 50|sMtCK genomic upstream sequences
P09525891T0000|20 49|pbx homeodomain protein families
P08097732A0000|21 48|ectoderm-specific Spec2a gene
P06685004A0000|22 49|sex-hormone-binding globulin
P07945937A0358|21 46|zebrafish egr1 coding region
